date,hour,mrt_shortname,person_time
2024-04-02,11,大安森林公園,339
2024-04-02,11,忠孝復興,2920
2024-04-02,11,忠孝敦化,1782
2024-04-02,11,忠孝新生,1962
2024-04-02,11,東門,1455
2024-04-02,11,科技大樓,515
2024-04-02,11,萬隆,300
2024-04-02,11,麟光,149
2024-04-02,12,信義安和,695
2024-04-02,12,公館,1687
2024-04-02,12,六張犁,420
2024-04-02,12,古亭,1603
2024-04-02,12,台電大樓,698
2024-04-02,12,國父紀念館,989
2024-04-02,12,大安,1128
2024-04-02,12,大安森林公園,458
2024-04-02,12,忠孝復興,2967
2024-04-02,12,忠孝敦化,1747
2024-04-02,12,忠孝新生,2295
2024-04-02,12,東門,1568
2024-04-02,12,科技大樓,690
2024-04-02,12,萬隆,340
2024-04-02,12,麟光,181
2024-04-02,13,信義安和,787
2024-04-02,13,公館,1424
2024-04-02,13,六張犁,364
2024-04-02,13,古亭,1802
2024-04-02,13,台電大樓,805
2024-04-02,13,國父紀念館,1072
2024-04-02,13,大安,1123
2024-04-02,13,大安森林公園,530
2024-04-02,13,忠孝復興,2678
2024-04-02,13,忠孝敦化,1892
2024-04-02,13,忠孝新生,2372
2024-04-02,13,東門,1370
2024-04-02,13,科技大樓,695
2024-04-02,13,萬隆,362
2024-04-02,13,麟光,182
2024-04-02,14,信義安和,771
2024-04-02,14,公館,1374
2024-04-02,14,六張犁,391
2024-04-02,14,古亭,1420
2024-04-02,14,台電大樓,631
2024-04-02,14,國父紀念館,891
2024-04-02,14,大安,948
2024-04-02,14,大安森林公園,492
2024-04-02,14,忠孝復興,2468
2024-04-02,14,忠孝敦化,1646
2024-04-02,14,忠孝新生,2046
2024-04-02,14,東門,1285
2024-04-02,14,科技大樓,569
2024-04-02,14,萬隆,354
2024-04-02,14,麟光,148
2024-04-02,15,信義安和,751
2024-04-02,15,公館,1194
2024-04-02,15,六張犁,363
2024-04-02,15,古亭,1265
2024-04-02,15,台電大樓,695
2024-04-02,15,國父紀念館,896
2024-04-02,15,大安,998
2024-04-02,15,大安森林公園,522
2024-04-02,15,忠孝復興,2310
2024-04-02,15,忠孝敦化,1473
2024-04-02,15,忠孝新生,1858
2024-04-02,15,東門,1150
2024-04-02,15,科技大樓,647
2024-04-02,15,萬隆,453
2024-04-02,15,麟光,171
2024-04-02,16,信義安和,869
2024-04-02,16,公館,1383
2024-04-02,16,六張犁,622
2024-04-02,16,古亭,1846
2024-04-02,16,台電大樓,930
2024-04-02,16,國父紀念館,1013
2024-04-02,16,大安,1162
2024-04-02,16,大安森林公園,519
2024-04-02,16,忠孝復興,2473
2024-04-02,16,忠孝敦化,1745
2024-04-02,16,忠孝新生,1909
2024-04-02,16,東門,1517
2024-04-02,16,科技大樓,822
2024-04-02,16,萬隆,672
2024-04-02,16,麟光,308
2024-04-02,17,信義安和,1407
2024-04-02,17,公館,2035
2024-04-02,17,六張犁,893
2024-04-02,17,古亭,2574
2024-04-02,17,台電大樓,1486
2024-04-02,17,國父紀念館,1350
2024-04-02,17,大安,1763
2024-04-02,17,大安森林公園,671
2024-04-02,17,忠孝復興,3440
2024-04-02,17,忠孝敦化,2413
2024-04-02,17,忠孝新生,2332
2024-04-02,17,東門,1973
2024-04-02,17,科技大樓,1302
2024-04-02,17,萬隆,1050
2024-04-02,17,麟光,395
2024-04-02,18,信義安和,1801
2024-04-02,18,公館,2441
2024-04-02,18,六張犁,1544
2024-04-02,18,古亭,3633
2024-04-02,18,台電大樓,1892
2024-04-02,18,國父紀念館,1957
2024-04-02,18,大安,2100
2024-04-02,18,大安森林公園,784
2024-04-02,18,忠孝復興,4781
2024-04-02,18,忠孝敦化,3358
2024-04-02,18,忠孝新生,3238
2024-04-02,18,東門,2681
2024-04-02,18,科技大樓,1978
2024-04-02,18,萬隆,1486
